Descricao;Codigo;Quantidade;Unidade;Valor_Unitario;Valor_Total;Categoria;Data
Cebola;14692;0,905;KG;2,95;2,67;Hortifruti;01/02/26
Linguiça de Frango Natto;88101;1,012;KG;16,89;17,09;Carnes;01/02/26
Moela de Frango;85435;0,526;KG;12,90;6,79;Carnes;01/02/26
Músculo Bovino Reserva;85690;1,054;KG;35,89;37,83;Carnes;01/02/26
Filé de Tilápia Vital;55351;1;UN;38,90;38,90;peixaria;01/02/26
Pé de Frango;85359;1,004;KG;9,29;9,33;Carnes;01/02/26
Coxa de Frango Seara IQF;37845;2;PCT;16,99;33,98;Carnes;01/02/26
Carne Bovina Dianteiro Jerkeed;86770;0,462;KG;43,90;20,28;Carnes;01/02/26
Carne Bovina Dianteiro Jerkeed;86770;0,5;KG;43,90;21,95;Carnes;01/02/26
Músculo Bovino Reserva;85690;0,5;KG;35,89;17,94;Carnes;01/02/26
Filé Sassami Perdigão;47240;4;PCT;21,99;87,96;Carnes;01/02/26
Pão de Queijo Tradicional;37617;1;UN;19,90;19,90;Congelados;01/02/26
Bife Coxão Mole Bovino;85220;0,336;KG;48,90;16,43;Carnes;01/02/26
Bife Coxão Mole Bovino;85220;0,344;KG;48,90;16,82;Carnes;01/02/26
Bife Coxão Mole Bovino;85220;0,332;KG;48,90;16,23;Carnes;01/02/26
Bife Coxão Mole Bovino;85220;0,308;KG;48,90;15,06;Carnes;01/02/26
Coxão Mole Bovino Reserva;85219;1,212;KG;39,50;47,87;Carnes;01/02/26
Steak Sadia;86549;10;UN;1,99;19,90;Congelados;01/02/26
Alho a Granel;21933;0,23;KG;20,90;4,81;Hortifruti;01/02/26
Polpa de Fruta Brasfrut;19280;1;PCT;26,28;26,28;Congelados;01/02/26
Polpa de Fruta Canaã;25827;3;PCT;16,90;50,70;Congelados;01/02/26
Fígado Bovino Reserva;85320;0,804;KG;11,99;9,64;Carnes;01/02/26
Batata Pré-Frita Rapmix;9871;1;UN;21,90;21,90;Congelados;01/02/26
Costela Bovina;12800;0,582;KG;14,90;8,67;Carnes;01/02/26
Costela Bovina;12800;0,684;KG;14,90;10,19;Carnes;01/02/26
Margarina Deline com Sal;46324;3;UN;10,29;30,87;Frios e laticinios;01/02/26
Mussarela Girolanda Ralada;85896;0,236;KG;35,90;8,47;Frios e laticinios;01/02/26
Mortadela Defumada Aurora;94321;0,262;KG;10,99;2,88;Frios;01/02/26
Iogurte Itambé Fit;2154;1;UN;14,90;14,90;laticinios;01/02/26
Iogurte Itambé Zero Lactose;97869;1;UN;7,29;7,29;laticinios;01/02/26
Pizza Mussarela Seara;39594;1;UN;15,99;15,99;Congelados;01/02/26
Banana Pacovan;12657;2,22;KG;3,69;8,19;Hortifruti;01/02/26
Maçã Gala Nacional;1825;1,12;KG;14,90;16,69;Hortifruti;01/02/26
Limão Taiti;1805;1,475;KG;3,89;5,74;Hortifruti;01/02/26
