descricao;codigo;quantidade;unidade;valor_unitario;valor_total;Data
OVO BCO GD PVC;21825;5;BDJ5;18,69;93,45;01/03/26
POLPA CANAA;25827;2;PCT2;13,90;27,80;01/03/26
POLPA CANAA;25831;1;PCT2;16,90;16,90;01/03/26
BATATA MASTERBOI;98423;1;UND9;23,90;23,90;01/03/26
BOV.MUSCULO RESERVA;85690;1,11;KG9;35,90;39,85;01/03/26
BOV.MUSCULO RESERVA;85690;2,014;KG9;35,90;72,30;01/03/26
MORTAD.SADIA DEF.PDC;85726;0,554;KG9;40,90;22,66;01/03/26
POLPA BRASFRUT;19287;4;UND9;2,69;10,76;01/03/26
POLPA BRASFRUT;19278;2;UND8;2,49;4,98;01/03/26
POLPA BRASFRUT;19276;3;UND9;3,09;9,27;01/03/26
PE FRANGO;85359;1,048;KG9;9,29;9,74;01/03/26
FILE PEIXE TILAPIA;47952;1;UND9;40,99;40,99;01/03/26
MUSS.GIROLANDA FAT;85579;0,506;KG9;35,50;17,96;01/03/26
PAO QUEIJO TRAD.;37617;1;UND9;17,90;17,90;01/03/26
STEAK FGO COPACOL C.;53185;10;UND9;2,49;24,90;01/03/26
FILEZINHO COPACOL;30922;4;PCT9;24,99;99,96;01/03/26
MOELA FRANGO;85435;1,046;KG9;12,90;13,49;01/03/26
LING.FGO NATTO;88101;1,014;KG9;20,90;21,19;01/03/26
SELETA LEGUMES;56934;1;PCT9;21,90;21,90;01/03/26
COXA FGO SADIA;15063;1;UND9;11,98;11,98;01/03/26
ESPETO FGO/BAC NATTO;91135;1;UND9;37,90;37,90;01/03/26
PIZZA 4 QUEIJOS;92940;1;UND9;16,99;16,99;01/03/26
COSTELA ROJAO;12800;0,58;KG9;14,90;8,64;01/03/26
COSTELA ROJAO;12800;0,722;KG9;14,90;10,76;01/03/26
IOG.DANONE 5X ZERO M;11285;1;UND9;17,90;17,90;01/03/26
MARG.DELINE C/SAL;46324;3;UND9;12,99;38,97;01/03/26
MACA NAC.GALA;1825;0,96;KG9;14,99;14,39;01/03/26
LIMAO TAITI TROPICAL;1805;1,655;KG9;3,69;6,11;01/03/26
BANANA PACOVAN;12657;1,4;KG9;4,49;6,29;01/03/26
