descricao;codigo;quantidade;unidade;valor_unitario;valor_total;Data
JERKEED B.DIANTEIRO;86770;1,204;KG9;44,90;54,06;01/03/26
SALSICHAO TONY;96852;0,508;KG9;19,90;10,11;01/03/26
COXA FGO SADIA;15063;1;UND9;11,98;11,98;01/03/26
ASA FGO NATTO;87679;1;BDJ9;19,90;19,90;01/03/26
SALSICHA PERDIGAO;88829;1,098;KG9;18,90;20,75;01/03/26
OVO PVC GDE VERMELHO;23286;1;BDJ2;18,69;18,69;01/03/26
POLPA BRASFRUT;19277;1;PCT1;15,48;15,48;01/03/26
MANT.NATVILLE;97003;2;UND9;9,49;18,98;01/03/26
PAO QUEIJO TRAD.;37617;1;UND9;17,90;17,90;01/03/26
FILEZINHO FORMOSO;59165;1;UND9;21,99;21,99;01/03/26
POLPA CANAA;25827;2;PCT2;13,90;27,80;01/03/26
POLPA CANAA;25831;1;PCT2;16,90;16,90;01/03/26
RF.IOG.ITAMBE FIT;91443;1;UND9;8,49;8,49;01/03/26
RF.IOG. ITAMBE FIT;91440;2;UND9;8,49;16,98;01/03/26
REQ.POLENGHI;24778;1;UND9;7,89;7,89;01/03/26
COSTELA ROJAO;12800;0,536;KG9;14,90;7,99;01/03/26
COSTELA ROJAO;12800;0,61;KG9;14,90;9,09;01/03/26
FIAMBRE PERDIGAO;88365;0,494;KG9;25,50;12,60;01/03/26
MARG.DELINE C/S;4616;2;UND9;3,89;7,78;01/03/26
COENTRO;1622;2;MCO1;1,49;2,98;01/03/26
PA.BOLO CHOCOLATE;87754;0,28;KG9;19,90;5,57;01/03/26
PIMENTAO VERDE;1527;0,44;KG9;4,99;2,20;01/03/26
REPOLHO BCO;1677;1,025;KG9;5,49;5,63;01/03/26
CHUCHU;1923;0,955;KG9;6,99;6,68;01/03/26
CEBOLA ATACADAO;14692;1,5;KG9;3,99;5,98;01/03/26
ALHO Kg A GRANEL;21933;0,275;KG9;20,90;5,75;01/03/26
CARA PAULISTA;1917;2,09;KG9;5,99;12,52;01/03/26
ABOBORA LEITE;12655;1,334;KG9;2,49;3,32;01/03/26
LIMAO TAITI TROPICAL;1805;0,83;KG9;3,69;3,06;01/03/26
MAMAO COMUM;1816;1,805;KG9;5,99;10,81;01/03/26
BANANA PACOVAN;12657;1,185;KG9;4,49;5,32;01/03/26
AGUA M.ELEVE;2170;1;UND9;0,99;0,99;01/03/26
SALG.PRINGLES BATATA;95690;1;UND9;4,99;4,99;01/03/26
MAC.NISSIN LAMEN;5614;10;PCT9;2,39;23,90;01/03/26
MAC.VITARELLA;84927;2;PCT9;2,59;5,18;01/03/26
ACHOC.PO TODDY;76533;1;UND9;9,99;9,99;01/03/26
QJO RALADO PARMESAO;8351;2;UND9;5,49;10,98;01/03/26
CHOC.GAROTO;82077;1;UND9;9,49;9,49;01/03/26
BARRA B.BR KIDS;90279;1;UND9;2,99;2,99;01/03/26
MASSA LASANHA GALO;76472;2;UND9;4,79;9,58;01/03/26
MAC.PETYBON PENA;8833;1;PCT9;5,39;5,39;01/03/26
FLOCAO CORINGA;16368;6;PCT9;2,38;14,28;01/03/26
CAFE BLEND TRAD.ALM;84848;2;UND9;16,98;33,96;01/03/26
FEIJAO DULAR BRANCO;19682;1;UND9;8,59;8,59;01/03/26
ARROZ CAMIL AG.T1;12474;1;PCT9;4,49;4,49;01/03/26
PROTEINA SORA;42785;1;PCT9;5,99;5,99;01/03/26
FAR.MAND.KICALDO;11667;1;PCT9;4,89;4,89;01/03/26
FEIJAO KICALDO;11874;1;PCT9;7,99;7,99;01/03/26
EXTRATO POMODORO;92496;4;UND9;2,49;9,96;01/03/26
VASO SIENA 2,7L FG;97204;1;UND9;9,99;9,99;01/03/26
TEMP.SAZON;29955;6;PCT9;6,99;41,94;01/03/26
COLORIFICO CORINGA;14541;1;PCT9;1,12;1,12;01/03/26
COMINHO PO PRIMO;16373;2;UND9;4,99;9,98;01/03/26
SARD.COQUEIRO;14596;3;UND9;5,75;17,25;01/03/26
SARDINHA ROBINSON;59309;3;UND9;4,99;14,97;01/03/26
MAC.INST.NISSIN;63334;4;UND9;4,49;17,96;01/03/26
GUARD.SNOB 24X22;15906;1;PCT9;2,29;2,29;01/03/26
FAR.LACTEA NESTLE;45359;1;UND9;9,29;9,;01/03/26
LEITE PO CAMPONESA;56310;3;UND9;6,99;20,97;01/03/26
OLEO SOJA SOYA;11300;1;FRC9;8,89;8,89;01/03/26
CR.LEITE ITALAC;1599;2;UND9;2,59;5,18;01/03/26
LEITE BETANIA INTEG.;24862;6;UND8;5,29;31,74;01/03/26
VINAGRE SADIO ALCOOL;56698;1;UND9;1,69;1,69;01/03/26
CR.DENT.CLOSE UP;57022;1;UND9;3,59;3,59;01/03/26
LIMP.CASA PERFUME;32017;1;UND9;5,50;5,50;01/03/26
AZEITE ANDOR.EX.VIRG;57453;1;UND9;17,90;17,90;01/03/26
AMAC.ROUPA SONHO;27517;1;UND9;10,20;10,20;01/03/26
DET.LIQ.MINUANO;29952;1;UND9;2,29;2,29;01/03/26
AGUA SANIT.TUBARAO;15130;2;UND9;2,15;4,30;01/03/26
CREME COND.KOLENE;84821;1;UND9;26,90;26,90;01/03/26
GUARDANAPO COQUETEL;58959;2;UND9;2,30;4,60;01/03/26
HASTES PIQUITUCHO;85270;1;UND9;1,79;1,79;01/03/26
CR.DENT.CLOSE-UP;57021;1;UND9;3,59;3,59;01/03/26
PRATO DESC.18CM RASO;26739;1;UND8;2,85;2,85;01/03/26
DET.LIQ.MINUANO;34454;2;UND9;2,29;4,;01/03/26
PAPEL HIG.MAX;64524;1;UND9;13,49;13,49;01/03/26
REF.ANTARC.GUAR.ZERO;93689;1;UND9;5,29;5,29;01/03/26
SUCO VINHEDOS;86170;3;UND9;13,90;41,70;01/03/26;01/03/26
REF.COCA-COLA ZERO;14246;1;UND9;10,49;10,49;01/03/26
ADOCANTE ZERO-CAL;60277;1;UND9;12,90;12,90;01/03/26
AZEITE OLIVA CORDOB;62561;1;UND9;27,90;27,90;01/03/26
PA.PAO HAMBURGUER;87712;0,244;KG9;27,50;6,71;01/03/26
