descricao;codigo;quantidade;unidade;valor_unitario;valor_total;categoria;Data
Alface Crespa;1592;1;UN;3,49;3,49;hortifruti;15/02/26
Batata Lavada;14691;1,285;KG;2,89;3,71;hortifruti;15/02/26
Pepino Comum;1514;0,805;KG;4,49;3,61;hortifruti;15/02/26
Beterraba;1616;1,445;KG;6,99;10,10;hortifruti;15/02/26
Chuchu;1923;1,325;KG;6,89;9,13;hortifruti;15/02/26
Limão Tahiti Tropical;1805;0,715;KG;2,89;2,07;hortifruti;15/02/26
Peito de Frango Formoso Resfriado;28265;4;BANDEJA;12,99;51,96;aves;15/02/26
Maçã Nacional Gala;1825;1,315;KG;12,89;16,95;hortifruti;15/02/26
Abacate;1632;1,3;KG;4,69;6,10;hortifruti;15/02/26
Fígado Bovino Reserva;89440;1,192;KG;13,50;16,09;carnes;15/02/26
Goma de Mandioca Kicaldo;64335;1;UN;6,29;6,29;mercearia;15/02/26
Uva Thompson Bandeja;36877;1;BANDEJA;7,99;7,99;hortifruti;15/02/26
Músculo Bovino Reserva;85690;1,01;KG;35,90;36,26;carnes;15/02/26
Músculo Bovino Reserva;85690;1,188;KG;35,90;42,65;carnes;15/02/26
Acém Bovino sem Osso Reserva;85698;1,15;KG;37,90;43,58;carnes;15/02/26
Linguiça de Frango Natto;88101;0,502;KG;16,50;8,28;aves;15/02/26
Coxa de Frango Seara IQF;37845;1;PACOTE;16,99;16,99;aves;15/02/26
Polpa de Fruta Nossa Fruta;67944;2;PACOTE;20,90;41,80;congelados;15/02/26
Filé Sassami Perdigão;47240;2;PACOTE;21,99;43,98;aves;15/02/26
Filé de Frango Desfiado Natto;8655;1;UN;15,99;15,99;aves;15/02/26
Asa de Frango Formoso;28602;1;BANDEJA;13,99;13,99;aves;15/02/26
Polpa de Fruta Brasfrut;19287;4;UN;2,69;10,76;congelados;15/02/26
Seleta de Legumes Congelada;62370;1;PACOTE;16,90;16,90;congelados;15/02/26
Leite Fermentado Bob;42016;1;UN;7,29;7,29;laticinios;15/02/26
Manteiga Valedourado com Sal Pote;22106;1;UN;29,90;29,90;laticinios;15/02/26
Manteiga Valedourado com Sal Pacote;3250;1;PACOTE;12,90;12,90;laticinios;15/02/26
Requeijão Poços de Caldas;53429;4;UN;9,29;37,16;laticinios;15/02/26
Mussarela Girolanda Ralada;85896;1,076;KG;35,90;38,63;frios;15/02/26
Hambúrguer Bovino/Frango Tony;69981;1;UN;14,50;14,50;congelados;15/02/26
Leite Fermentado Bob;42015;4;UN;7,29;29,16;laticinios;15/02/26
Iogurte Parmalat Fit;11537;2;UN;12,90;25,80;laticinios;15/02/26
Filé de Peixe Tilápia;47952;2;UN;42,90;85,80;peixaria;15/02/26
Melão Amarelo;5181;2,615;KG;2,99;7,82;hortifruti;15/02/26
Jerky Beef Coxão Paleta;89760;0,514;KG;47,90;24,62;carnes;15/02/26
Alho Triturado Rainha;37201;1;POTE;3,99;3,99;mercearia;15/02/26
Sardinha Palmeira em Óleo;43463;3;UN;4,89;14,67;mercearia;15/02/26
Sardinha Palmeira ao Tomate;43462;3;UN;4,89;14,67;mercearia;15/02/26
Macarrão Instantâneo Nissin Yakissoba;54689;1;UN;9,99;9,99;mercearia;15/02/26
Arroz Biju Agulhinha Tipo 1;43827;2;PACOTE;4,19;8,38;mercearia;15/02/26
Café Solúvel Pretinho;84845;1;UN;5,49;5,49;mercearia;15/02/26
Óleo de Soja Soya;11300;1;FRASCO;8,89;8,89;mercearia;15/02/26
Adoçante Zero Cal;60277;2;UN;12,90;25,80;mercearia;15/02/26
Shampoo Infantil Johnsons;93752;1;UN;13,50;13,50;higiene;15/02/26
Desodorante Nivea Roll-On;15988;1;UN;8,90;8,90;higiene;15/02/26
Creme Dental Colgate Total Mint;8887;1;UN;9,99;9,99;higiene;15/02/26
Sabonete Johnsons Baby;27588;1;UN;6,50;6,50;higiene;15/02/26
Alvejante Dragão;64266;1;UN;3,59;3,59;limpeza;15/02/26
Sabão em Pó Ypê Multiativo;3411;1;UN;11,20;11,20;limpeza;15/02/26
Detergente Líquido Brilux;68991;3;UN;1,69;5,07;limpeza;15/02/26
Amaciante de Roupa Dragão;75187;1;UN;6,49;6,49;limpeza;15/02/26
Frigideira Fortaleza;75960;1;UN;64,90;64,90;utilidades;15/02/26
Ovos Brancos Grandes Bandeja;21825;5;BANDEJA;15,99;79,95;hortifruti;15/02/26
Lava Roupas Líquido Absoluto;78295;1;UN;13,90;13,90;limpeza;15/02/26
